sample_id,kind,gold,candidate_A,candidate_B,rater_judgment,rater_notes
S20,noun_diagnostic,[Translator] Add resource path to exception message for schema validation errors,[Translator] Add resource path to exception message for schema validation warnings,[Translator] Add resource path to exception message for schema validation exceptions,B,"validation exceptions ≈ validation errors; warnings weaker"
S21,noun_directional,Improve node error messges when nodes are inserted with non - alive inputs or successors .,Improve node error messges when nodes are inserted with non - alive entries or successors .,Improve node error messges when nodes are inserted with non - alive outputs or successors .,A,"entries ≈ inputs for node data flow; outputs is directional opposite"
S22,noun_directional,hipchat : Fix handling of user IDs in Stride import .,hipchat : Fix handling of user IDs in Stride export .,hipchat : Fix handling of user IDs in Stride include .,B,"include ≈ import direction; export is antonym"
S23,noun_directional,SimonStewart : Clean up imports . No logical changes here either .,SimonStewart : Clean up exports . No logical changes here either .,SimonStewart : Clean up includes . No logical changes here either .,B,"includes ≈ imports; exports is directional flip"
S24,noun_directional,Allow lazy resolving of the constant input value of the node injecting probabilities into if nodes .,Allow lazy resolving of the constant output value of the node injecting probabilities into if nodes .,Allow lazy resolving of the constant entry value of the node injecting probabilities into if nodes .,B,"entry ≈ input; output is directional opposite"
S25,noun_directional,initialize funciton for random inputs,initialize funciton for random entries,initialize funciton for random outputs,A,"entries ≈ inputs in random-data context; outputs flips direction"
S26,noun_infrastructure,"controller: Log when a node has been updated
The MCC logs show when we tell a node to start, but don't show us
when it's done.  This helps the MCC logs be a centralized
aggregate of events.
Doing this now to aid debugging slowness in updates in our `e2e-aws-op`
test suite.","controller: Log when a node has been updated
The MCC outputs show when we tell a node to start, but don't show us
when it's done.  This helps the MCC outputs be a centralized
aggregate of events.
Doing this now to aid debugging slowness in updates in our `e2e-aws-op`
test suite.","controller: Log when a node has been updated
The MCC traces show when we tell a node to start, but don't show us
when it's done.  This helps the MCC traces be a centralized
aggregate of events.
Doing this now to aid debugging slowness in updates in our `e2e-aws-op`
test suite.",B,"traces ≈ logs in debugging context; outputs shifts the concept"
S27,noun_infrastructure,Improve robustness of a couple integration tests with occasional failures,Improve robustness of a couple integration configs with occasional failures,Improve robustness of a couple integration checks with occasional failures,B,"checks ≈ tests; configs is a different artefact class"
S28,noun_infrastructure,Move ScrollView prop comments from propTypes to flow types,Move ScrollView prop commands from propTypes to flow types,Move ScrollView prop notes from propTypes to flow types,B,"notes ≈ comments for documentation strings; commands is a separate concept"
S29,noun_infrastructure,Log only duplicated deploys if invalid block found.,Output only duplicated deploys if invalid block found.,Trace only duplicated deploys if invalid block found.,B,"trace ≈ log as verb; output changes the action semantics"
S30,noun_infrastructure,IJavascriptObjectRepository . Register - Improve isAsync xml doco comment,IJavascriptObjectRepository . Register - Improve isAsync xml doco command,IJavascriptObjectRepository . Register - Improve isAsync xml doco note,B,"doco note ≈ doco comment; command is a different artefact"
